sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 07:40:17 +0000,2025-09-12 07:41:17 +0000,ms,45.73081408229089,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 09:40:13 +0000,2025-09-12 09:41:13 +0000,ms,46.23989477076187,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 11:42:13 +0000,2025-09-12 11:43:12 +0000,ms,57.550509128999394,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 14:06:19 +0000,2025-09-12 14:07:16 +0000,ms,75.82934073887124,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 16:26:29 +0000,2025-09-12 16:27:21 +0000,ms,48.706796347140106,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 19:39:50 +0000,2025-09-12 19:40:49 +0000,ms,52.02152520633075,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 20:09:15 +0000,2025-09-12 20:10:03 +0000,ms,48.59846149047592,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 21:42:56 +0000,2025-09-12 21:43:56 +0000,ms,51.029999416693016,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 23:45:49 +0000,2025-09-12 23:46:49 +0000,ms,37.74656179771716,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 01:48:25 +0000,2025-09-13 01:49:24 +0000,ms,52.984931239935996,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 03:41:04 +0000,2025-09-13 03:42:04 +0000,ms,95.8357456483306,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 05:46:23 +0000,2025-09-13 05:47:22 +0000,ms,69.27781208620823,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 07:40:16 +0000,2025-09-13 07:41:15 +0000,ms,32.545243208141805,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 09:40:18 +0000,2025-09-13 09:41:16 +0000,ms,81.96396273586795,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 11:40:15 +0000,2025-09-13 11:41:15 +0000,ms,33.02386714947146,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 13:40:18 +0000,2025-09-13 13:41:18 +0000,ms,38.648108423153474,2
