sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeyHeartRateMotionContext
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:09:15 +0000,2025-09-09 11:09:15 +0000,count/min,58.0,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:10:35 +0000,2025-09-09 11:10:35 +0000,count/min,55.0,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:20:11 +0000,2025-09-09 11:20:11 +0000,count/min,58.0,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:22:55 +0000,2025-09-09 11:22:55 +0000,count/min,62.00000000000001,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:51:07 +0000,2025-09-09 11:51:07 +0000,count/min,67.0,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:58:19 +0000,2025-09-09 11:58:19 +0000,count/min,71.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 12:05:58 +0000,2025-09-09 12:05:58 +0000,count/min,75.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 12:12:29 +0000,2025-09-09 12:12:29 +0000,count/min,76.0,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 12:17:58 +0000,2025-09-09 12:17:58 +0000,count/min,75.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 12:22:37 +0000,2025-09-09 12:22:37 +0000,count/min,66.89625549316406,0
